X401,X402,X403,X405,YY1,Y1
3,5,1,1,204,2045
5,5,5,5,205,2051
5,5,5,5,205,2052
5,5,5,5,205,2053
5,5,5,5,205,2054
5,5,5,5,205,2055
1,5,5,1,206,2061
1,5,5,1,206,2062
1,5,5,1,206,2063
1,5,5,1,206,2064
1,5,5,1,206,2065
5,5,5,5,207,2071
5,5,5,5,207,2072
5,5,5,5,207,2073
5,5,5,5,207,2074
5,5,5,5,207,2075
1,5,5,1,208,2081
1,5,5,1,208,2082
1,5,5,1,208,2083
1,5,5,1,208,2084
1,5,5,1,208,2085
1,5,1,5,209,2091
1,5,1,5,209,2092
1,5,1,5,209,2093
1,5,1,5,209,2094
1,5,1,5,209,2095
3,5,5,1,210,2101
3,5,5,1,210,2102
3,5,5,1,210,2103
3,5,5,1,210,2104
3,5,5,1,210,2105
5,5,5,5,211,2111
5,5,5,5,211,2112
5,5,5,5,211,2113
5,5,5,5,211,2114
5,5,5,5,211,2115
1,5,5,1,212,2121
1,5,5,1,212,2122
1,5,5,1,212,2123
1,5,5,1,212,2124
1,5,5,1,212,2125
1,5,1,5,213,2131
1,5,1,5,213,2132
1,5,1,5,213,2133
1,5,1,5,213,2134
1,5,1,5,213,2135
3,5,5,1,214,2141
3,5,5,1,214,2142
3,5,5,1,214,2143
3,5,5,1,214,2144
3,5,5,1,214,2145
5,5,1,1,215,2151
5,5,1,1,215,2152
5,5,1,1,215,2153
5,5,1,1,215,2154
5,5,1,1,215,2155
3,5,5,5,216,2161
3,5,5,5,216,2162
3,5,5,5,216,2163
3,5,5,5,216,2164
3,5,5,5,216,2165
5,5,5,5,217,2171
5,5,5,5,217,2172
5,5,5,5,217,2173
5,5,5,5,217,2174
5,5,5,5,217,2175
3,5,1,1,218,2181
3,5,1,1,218,2182
3,5,1,1,218,2183
3,5,1,1,218,2184
3,5,1,1,218,2185
1,5,1,1,219,2191
1,5,1,1,219,2192
1,5,1,1,219,2193
1,5,1,1,219,2194
1,5,1,1,219,2195
3,1,5,1,220,2201
3,1,5,1,220,2202
3,1,5,1,220,2203
3,1,5,1,220,2204
3,1,5,1,220,2205
3,5,1,5,221,2211
3,5,1,5,221,2212
3,5,1,5,221,2213
3,5,1,5,221,2214
3,5,1,5,221,2215
5,5,5,1,222,2221
5,5,5,1,222,2222
5,5,5,1,222,2223
5,5,5,1,222,2224
5,5,5,1,222,2225
5,5,5,1,223,2231
5,5,5,1,223,2232
5,5,5,1,223,2233
5,5,5,1,223,2234
5,5,5,1,223,2235
5,5,5,1,224,2241
5,5,5,1,224,2242
