Y1,YY1,X401,X402,X403,X405
1565,156,1,5,1,1
1571,157,3,5,5,5
1572,157,3,5,5,5
1573,157,3,5,5,5
1574,157,3,5,5,5
1575,157,3,5,5,5
1581,158,3,5,5,1
1582,158,3,5,5,1
1583,158,3,5,5,1
1584,158,3,5,5,1
1585,158,3,5,5,1
1591,159,5,5,5,5
1592,159,5,5,5,5
1593,159,5,5,5,5
1594,159,5,5,5,5
1595,159,5,5,5,5
1601,160,3,5,1,1
1602,160,3,5,1,1
1603,160,3,5,1,1
1604,160,3,5,1,1
1605,160,3,5,1,1
1611,161,3,5,5,1
1612,161,3,5,5,1
1613,161,3,5,5,1
1614,161,3,5,5,1
1615,161,3,5,5,1
1621,162,1,5,1,1
1622,162,1,5,1,1
1623,162,1,5,1,1
1624,162,1,5,1,1
1625,162,1,5,1,1
1631,163,3,5,1,1
1632,163,3,5,1,1
1633,163,3,5,1,1
1634,163,3,5,1,1
1635,163,3,5,1,1
1641,164,3,5,1,1
1642,164,3,5,1,1
1643,164,3,5,1,1
1644,164,3,5,1,1
1645,164,3,5,1,1
1651,165,1,5,5,5
1652,165,1,5,5,5
1653,165,1,5,5,5
1654,165,1,5,5,5
1655,165,1,5,5,5
1661,166,1,5,5,1
1662,166,1,5,5,1
1663,166,1,5,5,1
1664,166,1,5,5,1
1665,166,1,5,5,1
1671,167,1,5,1,1
1672,167,1,5,1,1
1673,167,1,5,1,1
1674,167,1,5,1,1
1675,167,1,5,1,1
1681,168,3,5,5,5
1682,168,3,5,5,5
1683,168,3,5,5,5
1684,168,3,5,5,5
1685,168,3,5,5,5
1691,169,5,5,5,1
1692,169,5,5,5,1
1693,169,5,5,5,1
1694,169,5,5,5,1
1695,169,5,5,5,1
1701,170,3,1,5,1
1702,170,3,1,5,1
1703,170,3,1,5,1
1704,170,3,1,5,1
1705,170,3,1,5,1
1711,171,5,5,5,1
1712,171,5,5,5,1
1713,171,5,5,5,1
1714,171,5,5,5,1
1715,171,5,5,5,1
1721,172,1,1,1,1
1722,172,1,1,1,1
1723,172,1,1,1,1
1724,172,1,1,1,1
1725,172,1,1,1,1
1731,173,3,5,5,1
1732,173,3,5,5,1
1733,173,3,5,5,1
1734,173,3,5,5,1
1735,173,3,5,5,1
1741,174,5,5,1,5
1742,174,5,5,1,5
1743,174,5,5,1,5
1744,174,5,5,1,5
1745,174,5,5,1,5
1751,175,5,5,1,1
1752,175,5,5,1,1
1753,175,5,5,1,1
1754,175,5,5,1,1
1755,175,5,5,1,1
1761,176,3,5,1,1
1762,176,3,5,1,1
1763,176,3,5,1,1
1764,176,3,5,1,1
1765,176,3,5,1,1
1771,177,3,5,1,5
1772,177,3,5,1,5
1773,177,3,5,1,5
1774,177,3,5,1,5
1775,177,3,5,1,5
1781,178,3,5,5,1
1782,178,3,5,5,1
1783,178,3,5,5,1
1784,178,3,5,5,1
1785,178,3,5,5,1
1791,179,1,5,1,1
1792,179,1,5,1,1
1793,179,1,5,1,1
1794,179,1,5,1,1
1795,179,1,5,1,1
1801,180,3,5,5,1
1802,180,3,5,5,1
1803,180,3,5,5,1
1804,180,3,5,5,1
1805,180,3,5,5,1
1811,181,3,5,1,1
1812,181,3,5,1,1
1813,181,3,5,1,1
1814,181,3,5,1,1
1815,181,3,5,1,1
1821,182,3,5,1,5
1822,182,3,5,1,5
1823,182,3,5,1,5
1824,182,3,5,1,5
1825,182,3,5,1,5
1831,183,3,5,1,1
1832,183,3,5,1,1
1833,183,3,5,1,1
1834,183,3,5,1,1
1835,183,3,5,1,1
1841,184,3,5,5,1
1842,184,3,5,5,1
1843,184,3,5,5,1
1844,184,3,5,5,1
1845,184,3,5,5,1
1851,185,1,5,1,1
1852,185,1,5,1,1
1853,185,1,5,1,1
1854,185,1,5,1,1
1855,185,1,5,1,1
1861,186,3,5,1,1
1862,186,3,5,1,1
1863,186,3,5,1,1
1864,186,3,5,1,1
1865,186,3,5,1,1
1871,187,5,5,1,1
1872,187,5,5,1,1
1873,187,5,5,1,1
1874,187,5,5,1,1
1875,187,5,5,1,1
1881,188,5,5,1,1
1882,188,5,5,1,1
1883,188,5,5,1,1
1884,188,5,5,1,1
1885,188,5,5,1,1
1891,189,5,5,5,5
1892,189,5,5,5,5
1893,189,5,5,5,5
1894,189,5,5,5,5
1895,189,5,5,5,5
1901,190,5,5,5,5
1902,190,5,5,5,5
1903,190,5,5,5,5
1904,190,5,5,5,5
1905,190,5,5,5,5
1911,191,3,5,1,1
1912,191,3,5,1,1
1913,191,3,5,1,1
1914,191,3,5,1,1
1915,191,3,5,1,1
1921,192,5,5,1,1
1922,192,5,5,1,1
1923,192,5,5,1,1
1924,192,5,5,1,1
1925,192,5,5,1,1
1931,193,5,5,5,5
1932,193,5,5,5,5
1933,193,5,5,5,5
1934,193,5,5,5,5
1935,193,5,5,5,5
1941,194,5,1,1,1
1942,194,5,1,1,1
1943,194,5,1,1,1
1944,194,5,1,1,1
1945,194,5,1,1,1
1951,195,1,5,5,1
1952,195,1,5,5,1
1953,195,1,5,5,1
1954,195,1,5,5,1
1955,195,1,5,5,1
1961,196,3,5,5,1
1962,196,3,5,5,1
1963,196,3,5,5,1
1964,196,3,5,5,1
1965,196,3,5,5,1
1971,197,3,5,1,1
1972,197,3,5,1,1
1973,197,3,5,1,1
1974,197,3,5,1,1
1975,197,3,5,1,1
1981,198,5,5,5,1
1982,198,5,5,5,1
1983,198,5,5,5,1
1984,198,5,5,5,1
1985,198,5,5,5,1
1991,199,3,1,1,1
1992,199,3,1,1,1
1993,199,3,1,1,1
1994,199,3,1,1,1
1995,199,3,1,1,1
2001,200,3,5,1,1
2002,200,3,5,1,1
2003,200,3,5,1,1
2004,200,3,5,1,1
2005,200,3,5,1,1
2011,201,1,1,1,1
2012,201,1,1,1,1
2013,201,1,1,1,1
2014,201,1,1,1,1
2015,201,1,1,1,1
2021,202,3,5,1,1
2022,202,3,5,1,1
2023,202,3,5,1,1
2024,202,3,5,1,1
2025,202,3,5,1,1
2031,203,3,5,5,1
2032,203,3,5,5,1
2033,203,3,5,5,1
2034,203,3,5,5,1
2035,203,3,5,5,1
2041,204,3,5,5,1
2042,204,3,5,5,1
2043,204,3,5,5,1
2044,204,3,5,5,1
2045,204,3,5,5,1
2051,205,1,5,5,5
2052,205,1,5,5,5
2053,205,1,5,5,5
2054,205,1,5,5,5
2055,205,1,5,5,5
2061,206,1,5,1,1
2062,206,1,5,1,1
2063,206,1,5,1,1
2064,206,1,5,1,1
2065,206,1,5,1,1
2071,207,1,5,5,1
2072,207,1,5,5,1
2073,207,1,5,5,1
2074,207,1,5,5,1
2075,207,1,5,5,1
2081,208,5,5,5,5
2082,208,5,5,5,5
2083,208,5,5,5,5
2084,208,5,5,5,5
2085,208,5,5,5,5
2091,209,5,5,5,1
2092,209,5,5,5,1
2093,209,5,5,5,1
2094,209,5,5,5,1
2095,209,5,5,5,1
2101,210,5,1,5,5
2102,210,5,1,5,5
2103,210,5,1,5,5
2104,210,5,1,5,5
2105,210,5,1,5,5
2111,211,1,5,1,1
2112,211,1,5,1,1
2113,211,1,5,1,1
2114,211,1,5,1,1
2115,211,1,5,1,1
2121,212,5,5,5,5
2122,212,5,5,5,5
2123,212,5,5,5,5
2124,212,5,5,5,5
2125,212,5,5,5,5
2131,213,1,1,1,5
2132,213,1,1,1,5
2133,213,1,1,1,5
2134,213,1,1,1,5
2135,213,1,1,1,5
2141,214,3,5,5,1
2142,214,3,5,5,1
2143,214,3,5,5,1
2144,214,3,5,5,1
2145,214,3,5,5,1
2151,215,1,5,1,1
2152,215,1,5,1,1
2153,215,1,5,1,1
2154,215,1,5,1,1
2155,215,1,5,1,1
2161,216,5,5,5,1
2162,216,5,5,5,1
2163,216,5,5,5,1
2164,216,5,5,5,1
2165,216,5,5,5,1
2171,217,3,5,5,1
2172,217,3,5,5,1
2173,217,3,5,5,1
2174,217,3,5,5,1
2175,217,3,5,5,1
2181,218,5,5,5,5
2182,218,5,5,5,5
2183,218,5,5,5,5
2184,218,5,5,5,5
2185,218,5,5,5,5
2191,219,3,1,5,1
2192,219,3,1,5,1
2193,219,3,1,5,1
2194,219,3,1,5,1
2195,219,3,1,5,1
2201,220,5,5,5,1
2202,220,5,5,5,1
2203,220,5,5,5,1
2204,220,5,5,5,1
2205,220,5,5,5,1
2211,221,1,5,5,1
2212,221,1,5,5,1
2213,221,1,5,5,1
2214,221,1,5,5,1
2215,221,1,5,5,1
2221,222,1,1,1,1
2222,222,1,1,1,1
2223,222,1,1,1,1
2224,222,1,1,1,1
2225,222,1,1,1,1
2231,223,1,5,5,5
2232,223,1,5,5,5
2233,223,1,5,5,5
2234,223,1,5,5,5
2235,223,1,5,5,5
2241,224,3,5,1,1
2242,224,3,5,1,1
2243,224,3,5,1,1
2244,224,3,5,1,1
2245,224,3,5,5,1
2251,225,3,5,5,5
